,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
90,90,89,445,25,844,35,79,33,678,1125,990,604,751,27,380,86,1188,114,34,674
91,91,674,79,371,98,990,86,844,284,27,282,2,504,32,865,114,386,997,12,42
92,92,879,682,1260,822,546,155,1093,29,1064,77,881,1098,839,1342,8,1327,536,679,1107
93,93,96,28,125,990,697,269,39,912,1143,277,317,751,680,1053,543,17,783,62,914
94,94,990,258,678,12,33,89,42,1104,985,1295,380,349,606,359,629,27,344,844,701
95,95,42,27,932,756,990,670,909,859,998,395,277,73,1250,23,904,843,1300,1145,49
96,96,357,537,277,990,42,591,11,732,39,125,58,756,344,678,681,358,936,1300,963
97,97,904,27,471,23,390,114,550,845,472,178,17,522,1152,98,699,438,224,585,300
98,98,27,844,42,670,538,845,990,312,49,97,358,674,604,282,23,51,606,877,2
99,99,138,1096,554,436,104,127,103,1046,335,741,1482,612,797,510,420,181,588,643,1484
100,100,808,978,602,494,459,456,503,527,1340,738,323,253,1483,505,1247,972,1020,1491,848
101,144,530,524,702,425,650,468,506,1198,851,716,65,175,180,466,500,513,87,101,872
102,102,619,56,1365,465,867,1161,392,458,215,332,231,388,228,208,104,481,385,244,132
103,103,104,959,969,1484,56,984,1218,1430,736,510,1474,138,768,592,939,1050,459,1386,1254
104,104,1386,103,205,138,56,1254,736,829,252,737,893,1023,458,398,192,421,1227,503,1213
105,105,225,646,904,289,224,120,559,687,772,358,178,663,267,300,674,600,493,387,794
106,106,1340,1077,1252,118,657,1248,1232,69,121,415,635,304,821,1122,498,133,631,1354,324
107,107,1266,1026,790,1050,118,481,706,588,1407,1365,617,797,1478,1490,1426,1305,465,939,483
108,108,215,4,786,1265,1488,1161,1005,867,1077,422,1320,1486,1122,967,777,1365,1074,846,133
109,109,978,1265,1350,476,608,202,303,56,696,694,465,527,108,441,398,227,459,435,1161
110,110,86,1037,537,1188,1158,914,1104,23,27,114,2,952,591,844,17,990,387,1334,936
111,111,1004,865,537,687,637,27,2,23,844,73,1152,55,1118,522,681,387,1268,1104,909
112,112,918,516,1221,1105,1177,33,1299,1282,613,844,32,701,1095,674,1104,985,1029,670,1334
113,113,179,1420,548,948,1466,133,283,1302,1380,1392,820,402,666,324,451,106,574,660,1206
114,114,684,27,97,585,386,1334,23,604,1188,1032,387,751,111,2,580,914,6,879,1457
115,115,544,538,684,1166,258,1142,29,604,800,114,879,282,606,537,33,224,358,1143,240
116,116,1003,462,205,1320,828,1416,421,829,494,1451,608,896,1246,1386,1474,1254,325,195,542
117,117,727,439,1007,36,460,485,1219,605,158,1162,788,1316,566,491,1008,653,797,176,266
118,118,13,1252,1077,1111,540,304,1340,548,362,106,26,841,133,875,508,1385,123,1379,929
119,119,499,788,496,1173,672,227,1379,1042,508,929,1060,322,1340,1407,207,13,1035,297,1398
120,120,212,794,1414,663,2,1163,438,233,236,493,1080,242,42,224,197,550,904,679,637
121,121,106,118,1111,292,1340,465,383,660,1420,324,1119,635,540,556,758,494,1213,13,972
122,122,512,1302,152,1420,171,635,948,1119,1358,1274,885,896,1203,490,1453,1315,1462,553,1475
123,123,1077,633,304,821,118,498,1161,635,1165,362,803,253,1466,1265,451,69,132,133,1378
124,124,743,1332,536,358,73,921,879,29,1327,1237,155,1225,679,201,1443,889,932,881,1064
125,125,42,27,537,591,629,2,395,742,218,1104,990,606,1145,184,88,96,732,277,1118
126,126,806,715,726,937,1018,1179,974,423,575,272,334,973,968,497,970,1255,1367,640,828
127,127,1305,1046,428,257,1169,540,138,568,797,1386,118,1194,1338,939,782,1213,554,1109,1217
