,indices,names,party
1473,1473,Mondaire Jones,Democratic
1474,1474,Deborah K. Ross,Democratic
1475,1475,Kathy Manning,Democratic
1476,1476,Madison Cawthorn,Republican
1477,1477,Stephanie Bice,Republican
1478,1478,Cliff Bentz,Republican
1479,1479,Nancy Mace,Republican
1480,1480,Diana Harshbarger,Republican
1481,1481,Pat Fallon,Republican
1482,1482,Jake Ellzey,Republican
1483,1483,August Pfluger,Republican
1484,1484,Ronny Jackson,Republican[1]
1485,1485,Troy Nehls,Republican
1486,1486,Tony Gonzales,Republican
1487,1487,Beth Van Duyne,Republican
1488,1488,Blake Moore,Republican
1489,1489,Burgess Owens,Republican
1490,1490,Marilyn Strickland,Democratic
1491,1491,Scott L. Fitzgerald,Republican
